node_count,copies,trials,delivery_rate,delay_mean,delay_std,overhead_mean,overhead_std,data_tx_mean,data_tx_std
8,2,50,0.98,11.736705363738814,10.236473423337758,38.8,33.82970557944359,1.88,0.38544964466377263
8,4,50,1.0,9.19998009263582,6.180130014001897,30.34,19.02802444516283,3.14,0.9899494936611666
8,8,50,1.0,8.53951651200823,4.7624007991368185,27.46,13.893486948633043,3.66,1.8251083277885904
12,2,50,0.96,22.941659800510248,16.0353155706439,73.22,48.95824543341364,1.92,0.34046786536608525
12,4,50,1.0,15.174890561073035,11.536879717628754,47.26,31.32959088954279,3.26,0.9858177999477782
12,8,50,1.0,12.762967147617644,9.363010307462643,41.44,27.039774180919153,4.18,2.0572420611000504
16,2,50,0.74,23.99604576486338,17.241323504314998,102.9,67.16663712630805,1.66,0.47851812069840644
16,4,50,0.92,20.96154319060923,13.21726483941986,77.96,49.34011904058173,3.42,0.9055385138137417
16,8,50,1.0,22.58420923927583,13.943730816960795,74.78,41.08542121890311,5.6,2.0603150145508513
20,2,50,0.52,26.321610093593076,16.728273009958958,131.84,65.8031572966228,1.46,0.5034574339058885
20,4,50,0.74,24.24091533557613,16.27193784355062,102.58,63.44275581424662,3.32,0.7125693664765672
20,8,50,0.86,29.812672418154655,16.282809857258275,109.22,55.19142568721844,6.2,1.9691498217271746
