node_count,copies,copies_label,trials,delivery_rate,delay_mean,delay_std,total_tx_mean,total_tx_std,data_tx_mean,data_tx_std,control_tx_mean,control_tx_std
8,1,1,50,0.9,16.383442073589777,12.687021863272419,62.2,53.99508670013506,0.94,0.3730732816343027,61.26,54.21040264655891
8,2,2,50,0.98,11.736705363738814,10.236473423337758,38.8,33.82970557944359,1.88,0.38544964466377263,36.92,33.77587594598203
8,4,4,50,1.0,9.19998009263582,6.180130014001897,30.34,19.02802444516283,3.14,0.9899494936611666,27.2,18.352556403144828
8,8,N,50,1.0,8.53951651200823,4.7624007991368185,27.46,13.893486948633043,3.66,1.8251083277885904,23.8,12.653949935873456
12,1,1,50,0.72,23.041068732686806,18.740789418077316,101.88,71.93751256671108,0.72,0.4535573676110727,101.16,72.25221132128986
12,2,2,50,0.96,22.941659800510248,16.0353155706439,73.22,48.95824543341364,1.92,0.34046786536608525,71.3,48.98115006024756
12,4,4,50,1.0,15.174890561073035,11.536879717628754,47.26,31.32959088954279,3.26,0.9858177999477782,44.0,30.76772759279583
12,12,N,50,1.0,13.34158189683458,8.781920873596631,43.34,26.46261128306062,4.94,2.477737611909176,38.4,24.40976719868253
16,1,1,50,0.5,28.87772685061176,16.45534695795916,135.52,60.08505535947371,0.5,0.5050762722761054,135.02,60.465031216398124
16,2,2,50,0.74,23.99604576486338,17.241323504314998,102.9,67.16663712630805,1.66,0.47851812069840644,101.24,67.35636569768295
16,4,4,50,0.92,20.96154319060923,13.21726483941986,77.96,49.34011904058173,3.42,0.9055385138137417,74.54,49.12591485360941
16,16,N,50,1.0,20.70319200675722,12.875238509759212,67.08,40.20703563166171,6.96,3.380375537645219,60.12,37.52639343291109
20,1,1,50,0.38,30.951629470588518,16.691314590525824,145.54,52.20806490204676,0.38,0.49031435147801467,145.16,52.57971984306792
20,2,2,50,0.52,26.321610093593076,16.728273009958958,131.84,65.8031572966228,1.46,0.5034574339058885,130.38,66.10686771571977
20,4,4,50,0.74,24.24091533557613,16.27193784355062,102.58,63.44275581424662,3.32,0.7125693664765672,99.26,63.29742232879146
20,20,N,50,1.0,25.043205302000285,11.662961444945763,83.24,36.45492604097643,8.42,3.8177351978386773,74.82,33.57883808810154
